"site_number","lon","lat","date","presence"
1,-141.399920453889,62.7348102162175,2005-08-11,0
1,-141.399920453889,62.7348102162175,2005-08-12,1
1,-141.399920453889,62.7348102162175,2005-08-13,0
1,-141.399920453889,62.7348102162175,2005-08-14,1
1,-141.399920453889,62.7348102162175,2005-08-15,1
1,-141.399920453889,62.7348102162175,2005-08-16,1
1,-141.399920453889,62.7348102162175,2005-08-17,0
1,-141.399920453889,62.7348102162175,2005-08-18,0
2,-141.221817506823,62.6009160336409,2005-08-11,0
2,-141.221817506823,62.6009160336409,2005-08-12,1
2,-141.221817506823,62.6009160336409,2005-08-13,0
2,-141.221817506823,62.6009160336409,2005-08-14,0
2,-141.221817506823,62.6009160336409,2005-08-15,1
2,-141.221817506823,62.6009160336409,2005-08-16,0
2,-141.221817506823,62.6009160336409,2005-08-17,0
2,-141.221817506823,62.6009160336409,2005-08-18,0
3,-141.113785114151,62.4666441181927,2005-08-11,1
3,-141.113785114151,62.4666441181927,2005-08-12,1
3,-141.113785114151,62.4666441181927,2005-08-13,0
3,-141.113785114151,62.4666441181927,2005-08-14,0
3,-141.113785114151,62.4666441181927,2005-08-15,0
3,-141.113785114151,62.4666441181927,2005-08-16,0
3,-141.113785114151,62.4666441181927,2005-08-17,1
3,-141.113785114151,62.4666441181927,2005-08-18,1
4,-141.889216346922,62.6574343117825,2005-08-11,0
4,-141.889216346922,62.6574343117825,2005-08-12,0
4,-141.889216346922,62.6574343117825,2005-08-13,1
4,-141.889216346922,62.6574343117825,2005-08-14,0
4,-141.889216346922,62.6574343117825,2005-08-15,1
4,-141.889216346922,62.6574343117825,2005-08-16,1
4,-141.889216346922,62.6574343117825,2005-08-17,1
4,-141.889216346922,62.6574343117825,2005-08-18,1
5,-141.204138066915,62.5027228101578,2005-08-11,0
5,-141.204138066915,62.5027228101578,2005-08-12,0
5,-141.204138066915,62.5027228101578,2005-08-13,0
5,-141.204138066915,62.5027228101578,2005-08-14,1
5,-141.204138066915,62.5027228101578,2005-08-15,1
5,-141.204138066915,62.5027228101578,2005-08-16,1
5,-141.204138066915,62.5027228101578,2005-08-17,0
5,-141.204138066915,62.5027228101578,2005-08-18,0
6,-142.02982109393,63.0687987823678,2005-08-11,1
6,-142.02982109393,63.0687987823678,2005-08-12,1
6,-142.02982109393,63.0687987823678,2005-08-13,0
6,-142.02982109393,63.0687987823678,2005-08-14,0
6,-142.02982109393,63.0687987823678,2005-08-15,0
6,-142.02982109393,63.0687987823678,2005-08-16,1
6,-142.02982109393,63.0687987823678,2005-08-17,1
6,-142.02982109393,63.0687987823678,2005-08-18,1
7,-141.677849776686,62.5465489327041,2005-08-11,1
7,-141.677849776686,62.5465489327041,2005-08-12,0
7,-141.677849776686,62.5465489327041,2005-08-13,1
7,-141.677849776686,62.5465489327041,2005-08-14,1
7,-141.677849776686,62.5465489327041,2005-08-15,0
7,-141.677849776686,62.5465489327041,2005-08-16,1
7,-141.677849776686,62.5465489327041,2005-08-17,1
7,-141.677849776686,62.5465489327041,2005-08-18,1
8,-141.012611500754,62.4303580567409,2005-08-11,0
8,-141.012611500754,62.4303580567409,2005-08-12,1
8,-141.012611500754,62.4303580567409,2005-08-13,1
8,-141.012611500754,62.4303580567409,2005-08-14,1
8,-141.012611500754,62.4303580567409,2005-08-15,1
8,-141.012611500754,62.4303580567409,2005-08-16,1
8,-141.012611500754,62.4303580567409,2005-08-17,1
8,-141.012611500754,62.4303580567409,2005-08-18,0
9,-141.859203143143,62.729833210372,2005-08-11,1
9,-141.859203143143,62.729833210372,2005-08-12,0
9,-141.859203143143,62.729833210372,2005-08-13,1
9,-141.859203143143,62.729833210372,2005-08-14,0
9,-141.859203143143,62.729833210372,2005-08-15,0
9,-141.859203143143,62.729833210372,2005-08-16,1
9,-141.859203143143,62.729833210372,2005-08-17,0
9,-141.859203143143,62.729833210372,2005-08-18,0
10,-141.765037069906,62.7891476769378,2005-08-11,0
10,-141.765037069906,62.7891476769378,2005-08-12,0
10,-141.765037069906,62.7891476769378,2005-08-13,0
10,-141.765037069906,62.7891476769378,2005-08-14,0
10,-141.765037069906,62.7891476769378,2005-08-15,0
10,-141.765037069906,62.7891476769378,2005-08-16,0
10,-141.765037069906,62.7891476769378,2005-08-17,1
10,-141.765037069906,62.7891476769378,2005-08-18,0
11,-141.386452044836,62.6102395123404,2005-08-11,1
11,-141.386452044836,62.6102395123404,2005-08-12,0
11,-141.386452044836,62.6102395123404,2005-08-13,0
11,-141.386452044836,62.6102395123404,2005-08-14,0
11,-141.386452044836,62.6102395123404,2005-08-15,1
