"","X","Y","forest","water","y.1","y.2","y.3","y.4","y.5","y.6","y.7","y.8"
"1",-141.399920453889,62.5679014545055,189.638870239258,905.253356933594,0,0,0,1,1,0,0,0
"2",-141.221817506823,62.6050617331324,0,2189.31567382812,1,0,1,0,1,0,0,1
"3",-141.113785114151,62.6113011377837,8.44587421417236,1679.58752441406,1,0,1,0,0,1,0,0
"4",-141.889216346922,62.6165083876034,92.9062271118164,679.167785644531,1,1,0,1,0,0,1,0
"5",-142.02982109393,62.6170786515163,730.12841796875,0,0,0,1,0,1,0,1,0
"6",-141.608152619477,62.5108497226084,157.067352294922,654.1572265625,1,1,1,1,0,0,0,1
"7",-141.80548323806,62.7301546865454,40.3642883300781,113.229339599609,0,0,0,0,0,0,0,0
"8",-141.190211494701,62.5938495788294,6.37095880508423,989.872619628906,1,1,0,1,0,0,1,1
"9",-142.803207936647,62.5947121290792,4167.0537109375,8198.3046875,0,1,1,1,1,0,1,1
"10",-141.579507952893,62.7180971167375,20.6829280853271,903.606262207031,0,0,1,0,0,0,1,0
"11",-141.677849776686,62.7028996162817,14.8764886856079,469.777313232422,0,0,0,0,0,0,0,0
"12",-141.549933789636,62.5971573640659,138.784561157227,800.643310546875,0,0,0,0,0,0,0,0
"13",-141.859203143143,62.7481167858184,64.8524856567383,0,1,0,1,1,0,0,1,1
"14",-141.765037069906,62.632207867929,29.0897121429443,353.911468505859,0,0,0,0,0,0,0,0
"15",-142.605657528975,62.5678849447924,1430.24401855469,3533.62890625,0,0,0,0,0,0,0,0
"16",-142.446735553221,62.6690150045774,10.4256477355957,978.421630859375,0,0,0,0,0,0,0,0
"17",-142.102760167444,62.6316817064422,69.0505905151367,0,1,0,0,0,0,1,0,0
"18",-142.595632590156,62.6316934470843,507.609008789062,1596.10034179688,0,0,0,0,0,0,0,0
"19",-142.382147552183,62.638879246064,13.4704446792603,980.523803710938,0,0,0,0,0,0,0,0
"20",-141.269185792416,62.6761316333641,196.386734008789,96.120231628418,0,1,0,0,1,1,0,0
"21",-142.050758326716,62.9122416046971,23.360279083252,224.167587280273,0,0,0,0,0,0,0,0
"22",-141.827457238371,62.7434470985045,16.4962310791016,121.832473754883,0,0,0,1,1,1,0,1
"23",-142.642480756212,62.5431839823333,919.203735351562,2947.25219726562,0,0,0,1,1,0,0,1
"24",-141.199199378341,62.6110072002994,10.5713214874268,2772.97241210938,1,0,1,1,0,1,0,0
"25",-142.160258526537,62.7400841866468,80.7565231323242,269.633666992188,0,1,1,0,1,0,1,1
"26",-141.350398633919,62.7097182999506,0,670.783020019531,0,0,1,1,1,1,0,1
"27",-142.038880817946,62.6499538752773,26.6026344299316,229.658828735352,0,0,0,0,0,0,0,0
"28",-141.359003043292,62.5575387477694,0,532.332092285156,1,1,1,0,1,1,0,1
"29",-141.354630671833,62.5587365670776,0,602.394958496094,0,0,0,0,0,0,0,0
"30",-142.05521199085,62.6222021537006,52.335865020752,0,0,0,0,0,0,0,0,0
"31",-141.463536484416,62.5933483780447,0,1897.91369628906,0,1,0,1,1,1,1,0
"32",-141.988483963351,62.7000951983721,50.2524642944336,997.277770996094,1,1,1,0,1,0,1,1
"33",-142.168068278897,63.0722684415829,4.03925657272339,35.908016204834,0,0,0,0,0,0,0,0
"34",-142.220756282054,62.6454590829602,0.882472157478333,388.461273193359,1,0,1,1,0,0,1,1
"35",-141.400125991189,62.7342793281407,0,943.781066894531,0,0,0,0,0,0,0,0
"36",-142.064499497846,62.8648377156707,3.53427290916443,1016.17303466797,0,0,0,0,0,0,1,0
"37",-142.236329220542,62.6284087898893,0,834.650634765625,0,0,0,0,0,0,0,0
"38",-141.647289776419,62.7358042573942,43.0629768371582,147.602981567383,0,0,0,0,0,0,0,0
"39",-142.279849215258,62.5788102978114,41.8178977966309,92.0365676879883,0,0,0,0,0,0,0,0
"40",-141.411223606994,62.5436079737083,197.429565429688,3.08234310150146,0,0,1,1,1,0,0,0
"41",-141.754042115921,62.5583652112532,14.5595350265503,1286.32312011719,0,0,0,0,0,0,0,0
"42",-141.963480458834,62.6685594376733,0,89.2653961181641,0,0,0,0,0,0,0,0
"43",-141.974219101308,62.7372156284201,0,4568.96435546875,0,0,1,0,0,1,0,0
"44",-142.110012285723,62.6255458501987,51.527229309082,203.354476928711,0,0,0,0,0,0,0,0
"45",-142.605693175739,62.5976955766339,66.7238998413086,4209.46826171875,0,0,0,0,0,0,0,0
"46",-142.315849449157,62.6336511810208,17.2625122070312,78.8519058227539,0,0,0,0,0,0,0,0
"47",-141.527244485404,62.5555109174478,318.416778564453,2739.77905273438,1,0,0,1,0,1,0,1
"48",-141.849389698295,62.7946130457581,218.638595581055,77.3265686035156,0,0,0,0,0,0,0,0
"49",-142.121632599004,63.1210392550908,0,261.701202392578,0,0,0,0,0,0,0,0
"50",-142.187489087071,62.6878316083375,36.1689529418945,407.29345703125,1,0,1,1,1,0,0,1
